,Start,End,Sleep quality,Time in bed,Wake up,Sleep Notes,Heart rate,Activity (steps)
217,2015-11-24 22:33:40,2015-11-25 06:30:54,87%,7:57,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
218,2015-11-25 23:26:02,2015-11-26 06:20:47,69%,6:54,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
219,2015-11-26 22:25:29,2015-11-27 06:20:36,81%,7:55,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
220,2015-11-28 01:20:50,2015-11-28 07:46:30,58%,6:25,:),Drank coffee:Drank tea:Worked out,59.0,0
221,2015-11-29 22:20:20,2015-11-30 06:20:11,68%,7:59,:),Drank tea,60.60493827160494,0
222,2015-11-30 21:23:47,2015-12-01 06:19:46,64%,8:55,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
223,2015-12-01 23:03:32,2015-12-02 06:20:45,84%,7:17,:),Drank coffee:Drank tea:Worked out,57.0,0
224,2015-12-02 22:19:31,2015-12-03 05:11:26,75%,6:51,:),Drank coffee:Drank tea,60.60493827160494,0
225,2015-12-03 22:51:20,2015-12-04 05:01:02,70%,6:09,:),Ate late:Drank coffee:Drank tea,60.60493827160494,0
226,2015-12-06 22:10:17,2015-12-07 05:31:02,86%,7:20,:),Drank coffee:Drank tea,68.0,0
227,2015-12-07 21:20:30,2015-12-08 05:00:36,86%,7:40,:),Drank tea:Stressful day:Worked out,61.0,0
228,2015-12-08 22:17:33,2015-12-09 05:45:41,79%,7:28,:),Drank coffee:Drank tea:Stressful day:Worked out,60.60493827160494,0
229,2015-12-09 21:57:33,2015-12-10 06:10:41,93%,8:13,:),Drank tea:Stressful day:Worked out,67.0,0
230,2015-12-13 00:08:26,2015-12-13 08:23:03,77%,8:14,:),Drank coffee,60.60493827160494,0
231,2015-12-13 22:07:01,2015-12-14 06:09:53,80%,8:02,:),Drank coffee,52.0,0
232,2015-12-15 22:32:48,2015-12-16 06:10:41,75%,7:37,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
233,2015-12-16 22:20:47,2015-12-17 05:40:53,84%,7:20,:),Drank coffee:Drank tea:Stressful day,60.60493827160494,0
234,2015-12-17 21:07:49,2015-12-18 05:45:44,100%,8:37,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
235,2015-12-20 22:19:20,2015-12-21 06:20:02,72%,8:00,:|,Drank coffee:Drank tea:Worked out,56.0,0
236,2015-12-21 22:06:14,2015-12-22 05:29:49,80%,7:23,:|,Drank coffee:Worked out,60.60493827160494,0
